hanzi,keyword,zhuyin,pinyin,decomposition,definition,example,example_zhuyin,example_pinyin,simplified,rth_index,frequency_index,learn_order,network_level,decompstr
西,west,ㄒㄧ,xī,"{'character': '西', 'once': ['兀', '囗'], 'radical': ['西'], 'graphical': ['一', '丿', '乚', '冂', '一']}","west(ern); westward, occident",東西 西部 西邊,ㄉㄨㄥ ㄒㄧ   ㄒㄧ ㄅㄨ`  ㄒㄧ ㄅㄧㄢ ,dōngxī xībù xībiān,,1191,312,369,1,"['兀囗\t', '西', '一\t丿\t乚\t冂\t一']"
要,want,ㄧㄠ`,yào,"{'character': '要', 'once': ['覀', '女'], 'radical': ['覀', '女'], 'graphical': ['覀', '㇛', '一', '丿']}","necessary, essential; necessity",重要 需要 要是,ㄓㄨㄥ`ㄧㄠ`  ㄒㄩ ㄧㄠ`  ㄧㄠ`ㄕ˙,zhòngyào xūyào yàoshi,,1192,14,73,3,"['覀 [old west]女 [woman]\t', '覀\t女', '覀\t㇛\t一\t丿']"
以,by means of,ㄧˇ,yǐ,"{'character': '以', 'once': ['No glyph available', '人'], 'radical': ['乚', '丶', '人'], 'graphical': ['乚', '丶', '人']}","by means of; thereby, therefore; consider as; in order to",可以 以前 以後,ㄎㄜˇㄧˇ  ㄧˇㄑㄧㄢˊ  ㄧˇㄏㄡ`,kěyǐ yǐqián yǐhòu,,796,15,70,2,"['人 [person]\t', '乚\t丶\t人', '乚\t丶\t人']"
丁,fourth,ㄉㄧㄥ,dīng,"{'character': '丁', 'once': ['一', '亅'], 'radical': ['一', '亅'], 'graphical': ['一', '亅']}","male adult; robust, vigorous; 4th heavenly stem",,,,,86,1324,144,1,"['一 [one]亅\t', '一\t亅', '一\t亅']"
可,can,ㄎㄜˇ,kě,"{'character': '可', 'once': ['丁', '口'], 'radical': ['一', '亅', '口'], 'graphical': ['一', '亅', '口']}","may, can, -able; possibly",可以 可是 可能,ㄎㄜˇㄧˇ  ㄎㄜˇㄕ`  ㄎㄜˇㄋㄥˊ,kěyǐ kěshì kěnéng,,88,16,77,2,"['丁 [fourth]口 [mouth]\t', '一\t亅\t口', '一\t亅\t口']"
立,standing up,ㄌㄧ`,lì,"{'character': '立', 'once': ['亠', '䒑'], 'radical': ['立'], 'graphical': ['一', '丶', '丷', '一']}","stand; let stand; establish, set",建立 立刻 成立,ㄐㄧㄢ`ㄌㄧ`  ㄌㄧ`ㄎㄜ`  ㄔㄥˊㄌㄧ`,jiànlì lìkè chénglì,,408,248,125,1,"['亠 [top hat]䒑 [horn/bunny ears]\t', '立', '一\t丶\t丷\t一']"
言,say,ㄧㄢˊ,yán,"{'character': '言', 'once': ['亠', 'No glyph available'], 'radical': ['言'], 'graphical': ['一', '丶', '二', '口']}","words, speech; speak, say",語言 留言 總而言之,ㄩˇㄧㄢˊ  ㄌㄧㄡˊㄧㄢˊ  ㄗㄨㄥˇㄦˊㄧㄢˊㄓ ,yǔyán liúyán zǒngéryánzhī,,320,280,20,3,"['亠 [top hat]\t', '言', '一\t丶\t二\t口']"
這,this,ㄓㄜ`,zhè,"{'character': '這', 'once': ['辶', '言'], 'radical': ['辶', '言'], 'graphical': ['丶', '㇆', '㇝', '一', '丶', '二', '口']}","this, the, here",這裡 這兒 這邊,ㄓㄜ`ㄌㄧˇ  ㄓㄜ`ㄦ˙  ㄓㄜ`ㄅㄧㄢ ,zhèlǐ zhèr zhèbiān,这,332,17,44,3,"['辶 [road]言 [say]\t', '辶\t言', '丶\t㇆\t㇝\t一\t丶\t二\t口']"
古,ancient,ㄍㄨˇ,gǔ,"{'character': '古', 'once': ['十', '口'], 'radical': ['十', '口'], 'graphical': ['一', '丨', '口']}","old, classic, ancient",古代 古老 古典,ㄍㄨˇㄉㄞ`  ㄍㄨˇㄌㄠˇ  ㄍㄨˇㄉㄧㄢˇ,gǔdài gǔlǎo gǔdiǎn,,16,626,210,2,"['十 [ten]口 [mouth]\t', '十\t口', '一\t丨\t口']"
固,solid,ㄍㄨ`,gù,"{'character': '固', 'once': ['囗', '古'], 'radical': ['囗', '十', '口'], 'graphical': ['冂', '一', '一', '丨', '口']}","to become solid, solidify; strength",固定 膽固醇 鞏固,ㄍㄨ`ㄉㄧㄥ`  ㄉㄢˇㄍㄨ`ㄔㄨㄣˊ  ㄍㄨㄥˇㄍㄨ`,gùdìng dǎngùchún gǒnggù,,515,1332,860,3,"['囗古 [ancient]\t', '囗\t十\t口', '冂\t一\t一\t丨\t口']"
個,individual,ㄍㄜ`,gè,"{'character': '個', 'once': ['亻', '固'], 'radical': ['亻', '囗', '十', '口'], 'graphical': ['㇒', '丨', '冂', '一', '一', '丨', '口']}","numerary adjunct, piece; single",個人 個子 個別,ㄍㄜ`ㄖㄣˊ  ㄍㄜ`ㄗ˙  ㄍㄜ`ㄅㄧㄝˊ,gèrén gèzi gèbié,个,757,18,,,"['亻 [Jesus]固 [solid]\t', '亻\t囗\t十\t口', '㇒\t丨\t冂\t一\t一\t丨\t口']"
小,small,ㄒㄧㄠˇ,xiǎo,"{'character': '小', 'once': ['亅', '八'], 'radical': ['小'], 'graphical': ['亅', '八']}","small, tiny, insignificant",小姐 小時 小孩,ㄒㄧㄠˇㄐㄧㄝ˙  ㄒㄧㄠˇㄕˊ  ㄒㄧㄠˇㄏㄞˊ,xiǎojie xiǎoshí xiǎohái,,103,50,133,1,"['亅八 [eight]\t', '小', '亅\t八']"
你,you,ㄋㄧˇ,nǐ,"{'character': '你', 'once': ['亻', '尔'], 'radical': ['亻', '⺈', '小'], 'graphical': ['㇒', '丨', '⺈', '亅', '八']}","you, second person pronoun",你們,ㄋㄧˇㄇㄣ˙,nǐmen,,741,19,191,2,"['亻 [Jesus]尔\t', '亻\t⺈\t小', '㇒\t丨\t⺈\t亅\t八']"
曾,formerly,ㄘㄥˊ,céng,"{'character': '曾', 'once': ['No glyph available', '日'], 'radical': ['丷', '口', '丨', '丷', '日'], 'graphical': ['丷', '口', '丨', '丷', '口', '一']}",already; sign of past,曾經,ㄘㄥˊㄐㄧㄥ ,céngjīng,,470,389,514,1,"['日 [day]\t', '丷\t口\t丨\t丷\t日', '丷\t口\t丨\t丷\t口\t一']"
會,meeting,ㄏㄨㄟ`,huì,"{'character': '會', 'once': ['No glyph available', '日'], 'radical': ['人', '一', '口', '丨', '丷', '日'], 'graphical': ['人', '一', '口', '丨', '丷', '口', '一']}","to assemble, meet together; a meeting; an organization",晚會 一會兒 開會,ㄨㄢˇㄏㄨㄟ`  ㄧ ㄏㄨㄟ`ㄦ˙  ㄎㄞ ㄏㄨㄟ`,wǎnhuì yīhuìr kāihuì,会,244,20,95,2,"['日 [day]\t', '人\t一\t口\t丨\t丷\t日', '人\t一\t口\t丨\t丷\t口\t一']"
子,child,ㄗ˙,zi,"{'character': '子', 'once': ['了', '一'], 'radical': ['子'], 'graphical': ['㇇', '亅', '一']}","offspring, child; fruit, seed of; 1st terrestrial branch",車子 孩子 兒子,ㄔㄜ ㄗ˙  ㄏㄞˊㄗ˙  ㄦˊㄗ˙,chēzi háizi érzi,,92,63,31,1,"['了 [(-ed)]一 [one]\t', '子', '㇇\t亅\t一']"
好,good,ㄏㄠˇ,hǎo,"{'character': '好', 'once': ['女', '子'], 'radical': ['女', '子'], 'graphical': ['㇛', '一', '丿', '㇇', '亅', '一']}","good, excellent, fine; well",好看 好吃 不好意思,ㄏㄠˇㄎㄢ`  ㄏㄠˇㄔ   ㄅㄨ`ㄏㄠˇㄧ`ㄙ˙,hǎokàn hǎochī bùhǎoyìsi,,97,21,207,2,"['女 [woman]子 [child]\t', '女\t子', '㇛\t一\t丿\t㇇\t亅\t一']"
爪,claw,ㄓㄠˇ,zhǎo,"{'character': '爪', 'once': ['No glyph available', '丨'], 'radical': ['爪'], 'graphical': ['丿', '㇒', '㇏', '丨']}","claw, nail, talon; animal feet",,,,,612,2678,163,1,"['丨\t', '爪', '丿\t㇒\t㇏\t丨']"
火,fire,ㄏㄨㄛˇ,huǒ,"{'character': '火', 'once': ['No glyph available', 'No glyph available'], 'radical': ['火'], 'graphical': ['丿', '丶', '冫']}","fire, flame; burn; anger, rage",火車 煙火 火柴,ㄏㄨㄛˇㄔㄜ   ㄧㄢ ㄏㄨㄛˇ  ㄏㄨㄛˇㄔㄞˊ,huǒchē yānhuǒ huǒchái,,157,527,56,1,"['\t', '火', '丿\t丶\t冫']"
為,act,ㄨㄟ`,wèi,"{'character': '為', 'once': ['No glyph available', '灬'], 'radical': ['丿', '丶', 'No glyph available', '灬'], 'graphical': ['丿', '丶', '㇆', '灬']}","do, handle, govern, act; be",為什麼 因為 認為,ㄨㄟ`ㄕㄣˊㄇㄜ˙  ㄧㄣ ㄨㄟ`  ㄖㄣ`ㄨㄟˊ,wèishénme yīnwèi rènwéi,为,1385,22,,,"['灬 [campfire]\t', '丿\t丶\tNo glyph available\t灬', '丿\t丶\t㇆\t灬']"
上,above,ㄕㄤ`,shàng,"{'character': '上', 'once': ['⺊', '一'], 'radical': ['⺊', '一'], 'graphical': ['丨', '一', '一']}","top; superior, highest; go up, send up",早上 上午 晚上,ㄗㄠˇㄕㄤ˙  ㄕㄤ`ㄨˇ  ㄨㄢˇㄕㄤ˙,zǎoshang shàngwǔ wǎnshang,,44,23,55,1,"['⺊一 [one]\t', '⺊\t一', '丨\t一\t一']"
木,tree,ㄇㄨ`,mù,"{'character': '木', 'once': ['十', '八'], 'radical': ['木'], 'graphical': ['一', '丨', '八']}","tree; wood, lumber; wooden",木頭 樹木 木材,ㄇㄨ`ㄊㄡ˙  ㄕㄨ`ㄇㄨ`  ㄇㄨ`ㄘㄞˊ,mùtou shùmù mùcái,,191,732,9,1,"['十 [ten]八 [eight]\t', '木', '一\t丨\t八']"
來,come,ㄌㄞˊ,lái,"{'character': '來', 'once': ['木', '从'], 'radical': ['木', '从'], 'graphical': ['一', '丨', '八', '从']}","come, coming; return, returning",進來 起來 後來,ㄐㄧㄣ`ㄌㄞˊ  ㄑㄧˇㄌㄞ˙  ㄏㄡ`ㄌㄞˊ,jìnlái qǐlai hòulái,来,789,24,57,1,"['木 [tree]从 [assembly line]\t', '木\t从', '一\t丨\t八\t从']"
力,power,ㄌㄧ`,lì,"{'character': '力', 'once': ['㇆', '丿'], 'radical': ['力'], 'graphical': ['㇆', '丿']}","power, capability, influence",巧克力 努力 力量,ㄑㄧㄠˇㄎㄜ`ㄌㄧ`  ㄋㄨˇㄌㄧ`  ㄌㄧ`ㄌㄧㄤ˙,qiǎokèlì nǔlì lìliang,,687,141,40,1,"['㇆ [clothes hanger]丿\t', '力', '㇆\t丿']"
五,five,ㄨˇ,wǔ,"{'character': '五', 'once': ['一', 'No glyph available'], 'radical': ['一', '力', '一'], 'graphical': ['一', '㇆', '丿', '一']}",five; surname,五金,ㄨˇㄐㄧㄣ ,wǔjīn,,5,309,346,1,"['一 [one]\t', '一\t力\t一', '一\t㇆\t丿\t一']"
學,study,ㄒㄩㄝˊ,xué,"{'character': '學', 'once': ['𦥯', '子'], 'radical': ['臼', '爻', '冖', '子'], 'graphical': ['臼', '爻', '冖', '㇇', '亅', '一']}","learning, knowledge; school",學生 大學 學校,ㄒㄩㄝˊㄕㄥ˙  ㄉㄚ`ㄒㄩㄝˊ  ㄒㄩㄝˊㄒㄧㄠ`,xuésheng Dàxué xuéxiào,学,1110,25,108,2,"['𦥯子 [child]\t', '臼\t爻\t冖\t子', '臼\t爻\t冖\t㇇\t亅\t一']"
乙,second,ㄧˇ,yǐ,"{'character': '乙', 'once': ['㇠'], 'radical': ['乙'], 'graphical': ['乙']}",second; 2nd heavenly stem,,,,,91,1422,462,1,"['㇠\t', '乙', '乙']"
京,capital,ㄐㄧㄥ,jīng,"{'character': '京', 'once': ['No glyph available', '小'], 'radical': ['亠', '口', '小'], 'graphical': ['一', '丶', '口', '亅', '八']}",capital city,京劇,ㄐㄧㄥ ㄐㄩ`,Jīngjù,,301,1339,143,1,"['小 [small]\t', '亠\t口\t小', '一\t丶\t口\t亅\t八']"
