hanzi,keyword,zhuyin,pinyin,decomposition,definition,example,example_zhuyin,example_pinyin,simplified,rth_index,frequency_index,learn_order,network_level,decompstr 
拋,toss,ㄆㄠ,pāo,"{'character': '拋', 'once': ['扌', '𡯄'], 'radical': ['扌', '尢', '力'], 'graphical': ['亅', '二', '𠂇', '乚', '㇆', '丿']}","throw (away), abandon, reject",拋棄,ㄆㄠ ㄑㄧ`,pāoqì,抛,2434,1950,2047,3,"['扌 [finger]𡯄\t', '扌\t尢\t力', '亅\t二\t𠂇\t乚\t㇆\t丿']"
愚,pea-brained,ㄩˊ,yú,"{'character': '愚', 'once': ['禺', '心'], 'radical': ['冂', '二', '丨', '禸', '心'], 'graphical': ['冂', '二', '丨', '㇛', '丶', '冂', '𠁼', '㇃']}","stupid, doltish, foolish",愚蠢,ㄩˊㄔㄨㄣˇ,yúchǔn,,2822,1951,2522,3,"['禺 [Jimminey Cricket]心 [heart]\t', '冂\t二\t丨\t禸\t心', '冂\t二\t丨\t㇛\t丶\t冂\t𠁼\t㇃']"
征,go on an expedition,ㄓㄥ,zhēng,"{'character': '征', 'once': ['彳', '正'], 'radical': ['彳', '一', '止'], 'graphical': ['㇒', '丨', '一', '丨', '一', '丨', '一']}","invade, attack, conquer",,,,,1930,1952,897,3,"['彳 [queue rail]正 [correct]\t', '彳\t一\t止', '㇒\t丨\t一\t丨\t一\t丨\t一']"
辱,disgrace,ㄖㄨˇ,rǔ,"{'character': '辱', 'once': ['辰', '寸'], 'radical': ['辰', '寸'], 'graphical': ['厂', '二', '乚', '冫', '𠂇', '亅', '丶']}","humiliate, insult, abuse",侮辱,ㄨˇㄖㄨˇ,wǔrǔ,,2895,1953,2350,2,"['辰 [sign of the dragon/dratini]寸 [Chinese inch / glue]\t', '辰\t寸', '厂\t二\t乚\t冫\t𠂇\t亅\t丶']"
朗,lucent,ㄌㄤˇ,lǎng,"{'character': '朗', 'once': ['No glyph available', '月'], 'radical': ['丨', '彐', '乚', '丶', '丶', '月'], 'graphical': ['丨', '㇕', '二', '乚', '丶', '丶', '冂', '二']}","clear, bright; distinct",開朗 朗讀 朗誦,ㄎㄞ ㄌㄤˇ  ㄌㄤˇㄉㄨˊ  ㄌㄤˇㄙㄨㄥ`,kāilǎng lǎngdú lǎngsòng,,2449,1954,1799,2,"['月 [flesh/moon]\t', '丨\t彐\t乚\t丶\t丶\t月', '丨\t㇕\t二\t乚\t丶\t丶\t冂\t二']"
慰,console,ㄨㄟ`,wèi,"{'character': '慰', 'once': ['尉', '心'], 'radical': ['尸', '示', '寸', '心'], 'graphical': ['丨', '匚', '二', '亅', '八', '𠂇', '亅', '丶', '𠁼', '㇃']}","comfort, console, calm",安慰 慰問,ㄢ ㄨㄟ`  ㄨㄟ`ㄨㄣ`,ānwèi wèiwèn,,2105,1956,1956,3,"['尉心 [heart]\t', '尸\t示\t寸\t心', '丨\t匚\t二\t亅\t八\t𠂇\t亅\t丶\t𠁼\t㇃']"
禪,meditation,ㄔㄢˊ,chán,"{'character': '禪', 'once': ['礻', '單'], 'radical': ['礻', '吅', '冂', '二', '丨', '十'], 'graphical': ['一', '一', '丨', '一', '丶', '戈', '丨', '丶', '吅', '冂', '二', '丨', '一', '丨']}","meditation, contemplation (dhyana); to level ground for altar; abdicate",,,,禅,1653,1957,2685,2,"['礻 [altar]單 [list]\t', '礻\t吅\t冂\t二\t丨\t十', '一\t一\t丨\t一\t丶\t戈\t丨\t丶\t吅\t冂\t二\t丨\t一\t丨']"
蛙,frog,ㄨㄚ,wā,"{'character': '蛙', 'once': ['虫', '圭'], 'radical': ['虫', '圭'], 'graphical': ['口', '丨', '𠂉', '圭']}",frog,青蛙,ㄑㄧㄥ ㄨㄚ ,qīngwā,,1709,1958,2495,3,"['虫 [insect]圭 [bricks]\t', '虫\t圭', '口\t丨\t𠂉\t圭']"
秦,Qin,ㄑㄧㄣˊ,qín,"{'character': '秦', 'once': ['𡗗', '禾'], 'radical': ['一', '二', '丨', '八', '禾'], 'graphical': ['一', '二', '丨', '八', '㇒', '一', '丨', '八']}",a feudal state; a dynasty,,,,,2529,1959,1723,2,"['𡗗禾 [standing grain]\t', '一\t二\t丨\t八\t禾', '一\t二\t丨\t八\t㇒\t一\t丨\t八']"
災,disaster,ㄗㄞ,zāi,"{'character': '災', 'once': ['巛', '火'], 'radical': ['巛', '火'], 'graphical': ['巛', '丿', '丶', '冫']}","calamity, disaster, catastrophe",火災 水災 災害,ㄏㄨㄛˇㄗㄞ   ㄕㄨㄟˇㄗㄞ   ㄗㄞ ㄏㄞ`,huǒzāi shuǐzāi zāihài,灾,162,1960,,,"['巛火 [fire]\t', '巛\t火', '巛\t丿\t丶\t冫']"
鼎,old cooking pot,ㄉㄧㄥˇ,dǐng,"{'character': '鼎', 'once': ['𤕰', '目'], 'radical': ['鼎'], 'graphical': ['𤕰', '口', '二']}","large, three-legged bronze caldron",,,,,2183,2323,2731,1,"['𤕰目 [eye]\t', '鼎', '𤕰\t口\t二']"
貞,chaste,ㄓㄣ,zhēn,"{'character': '貞', 'once': ['⺊', '貝'], 'radical': ['⺊', '貝'], 'graphical': ['丨', '一', '口', '二', '八']}","virtuous, chaste, pure; loyal",,,,贞,53,2000,2001,2,"['⺊貝 [shellfish]\t', '⺊\t貝', '丨\t一\t口\t二\t八']"
偵,detect,ㄓㄣ,zhēn,"{'character': '偵', 'once': ['亻', '貞'], 'radical': ['亻', '⺊', '貝'], 'graphical': ['㇒', '丨', '丨', '一', '口', '二', '八']}","spy, reconnoiter; detective",偵探,ㄓㄣ ㄊㄢ`,zhēntàn,侦,1996,1961,2168,3,"['亻 [Jesus]貞 [chaste]\t', '亻\t⺊\t貝', '㇒\t丨\t丨\t一\t口\t二\t八']"
讚,praise,ㄗㄢ`,zàn,"{'character': '讚', 'once': ['言', '贊'], 'radical': ['言', '兟', '貝'], 'graphical': ['一', '丶', '二', '口', '兟', '口', '二', '八']}","praise, commend, eulogize",讚美 讚嘆,ㄗㄢ`ㄇㄟˇ  ㄗㄢ`ㄊㄢ`,zànměi zàntàn,,1628,1962,,,"['言 [say]贊 [succor/likebutton]\t', '言\t兟\t貝', '一\t丶\t二\t口\t兟\t口\t二\t八']"
椅,chair,ㄧˇ,yǐ,"{'character': '椅', 'once': ['木', '奇'], 'radical': ['木', '大', '一', '亅', '口'], 'graphical': ['一', '丨', '八', '人', '一', '一', '亅', '口']}","chair, seat",椅子,ㄧˇㄗ˙,yǐzi,,1548,1963,2047,4,"['木 [tree]奇 [strange]\t', '木\t大\t一\t亅\t口', '一\t丨\t八\t人\t一\t一\t亅\t口']"
夥,partnership,ㄏㄨㄛˇ,huǒ,"{'character': '夥', 'once': ['果', '多'], 'radical': ['田', '木', '多'], 'graphical': ['冂', '一', '丨', '一', '一', '丨', '八', '多']}",companion; partner; assistant,,,,,2116,1964,,,"['果 [fruit]多 [many]\t', '田\t木\t多', '冂\t一\t丨\t一\t一\t丨\t八\t多']"
宛,winding/*mailbox,ㄨㄢˇ,wǎn,"{'character': '宛', 'once': ['宀', '夗'], 'radical': ['宀', '夕', '乚', '㇆'], 'graphical': ['冖', '丶', '夕', '乚', '㇆']}","seem, as if, crooked",,,,,2386,2777,1846,3,"['宀 [house]夗 [cool side of the pillow]\t', '宀\t夕\t乚\t㇆', '冖\t丶\t夕\t乚\t㇆']"
碗,bowl,ㄨㄢˇ,wǎn,"{'character': '碗', 'once': ['石', '宛'], 'radical': ['石', '宀', '夕', '乚', '㇆'], 'graphical': ['一', '丿', '口', '冖', '丶', '夕', '乚', '㇆']}","bowl, small dish",,,,,2389,1965,1856,4,"['石 [stone]宛 [winding/*mailbox]\t', '石\t宀\t夕\t乚\t㇆', '一\t丿\t口\t冖\t丶\t夕\t乚\t㇆']"
荷,Holland,ㄏㄜˊ,hé,"{'character': '荷', 'once': ['艹', '何'], 'radical': ['艹', '亻', '一', '亅', '口'], 'graphical': ['艹', '㇒', '丨', '一', '亅', '口']}","lotus, water lily, holland",,,,,2040,1968,1806,4,"['艹 [flower]何 [whatwhichwhowherewhy?]\t', '艹\t亻\t一\t亅\t口', '艹\t㇒\t丨\t一\t亅\t口']"
披,drape over the shoulders,ㄆㄧ,pī,"{'character': '披', 'once': ['扌', '皮'], 'radical': ['扌', '皮'], 'graphical': ['亅', '二', '丿', '㇆', '丨', '㇇', '㇏']}",wear; split; crack,,,,,1902,1969,2228,3,"['扌 [finger]皮 [covering]\t', '扌\t皮', '亅\t二\t丿\t㇆\t丨\t㇇\t㇏']"
趨,hasten,ㄑㄩ,qū,"{'character': '趨', 'once': ['走', '芻'], 'radical': ['走', '芻'], 'graphical': ['一', '丨', '一', '龰', '芻']}","hasten, hurry; be attracted to",趨勢,ㄑㄩ ㄕ`,qūshì,趋,1906,1970,1529,3,"['走 [walk]芻\t', '走\t芻', '一\t丨\t一\t龰\t芻']"
劫,plunder,ㄐㄧㄝˊ,jié,"{'character': '劫', 'once': ['去', '力'], 'radical': ['土', '厶', '力'], 'graphical': ['一', '丨', '一', '㇛', '丶', '㇆', '丿']}","take by force, coerce; disaster",,,,,1926,1971,2522,2,"['去 [go]力 [power]\t', '土\t厶\t力', '一\t丨\t一\t㇛\t丶\t㇆\t丿']"
迅,speedy,ㄒㄩㄣ`,xùn,"{'character': '迅', 'once': ['辶', '卂'], 'radical': ['辶', '㇠', '十'], 'graphical': ['丶', '㇆', '㇝', '㇠', '一', '丨']}","quick, hasty, rapid, sudden",迅速,ㄒㄩㄣ`ㄙㄨ`,xùnsù,,270,1972,1232,3,"['辶 [road]卂 [crochet needles]\t', '辶\t㇠\t十', '丶\t㇆\t㇝\t㇠\t一\t丨']"
笛,flute,ㄉㄧˊ,dí,"{'character': '笛', 'once': ['⺮', '由'], 'radical': ['⺮', '二', '丨', '凵'], 'graphical': ['⺮', '二', '丨', '凵']}",bamboo flute; whistle,,,,,2112,1973,2853,3,"['⺮ [bamboo]由 [wherefore/bamboo shoot]\t', '⺮\t二\t丨\t凵', '⺮\t二\t丨\t凵']"
烤,roast,ㄎㄠˇ,kǎo,"{'character': '烤', 'once': ['火', '考'], 'radical': ['火', '耂', '一', '㇉'], 'graphical': ['丿', '丶', '冫', '耂', '一', '㇉']}","bake, roast, toast, cook",烤肉,ㄎㄠˇㄖㄡ`,kǎoròu,,956,1974,3010,4,"['火 [fire]考 [take an exam]\t', '火\t耂\t一\t㇉', '丿\t丶\t冫\t耂\t一\t㇉']"
肩,shoulder,ㄐㄧㄢ,jiān,"{'character': '肩', 'once': ['户', '月'], 'radical': ['户', '月'], 'graphical': ['丨', '匚', '丶', '冂', '二']}",shoulders; to shoulder; bear,肩膀,ㄐㄧㄢ ㄅㄤˇ,jiānbǎng,,2094,1975,1703,2,"['户 [door]月 [flesh/moon]\t', '户\t月', '丨\t匚\t丶\t冂\t二']"
遷,resituate,ㄑㄧㄢ,qiān,"{'character': '遷', 'once': ['辶', 'No glyph available'], 'radical': ['辶', '覀', '大', '巳'], 'graphical': ['丶', '㇆', '㇝', '覀', '人', '一', '丨', '匚', '乚']}","move, shift, change; transfer",變遷 升遷,ㄅㄧㄢ`ㄑㄧㄢ   ㄕㄥ ㄑㄧㄢ ,biànqiān shēngqiān,迁,2542,1977,1723,3,"['辶 [road]\t', '辶\t覀\t大\t巳', '丶\t㇆\t㇝\t覀\t人\t一\t丨\t匚\t乚']"
汝,,ㄖㄨˇ,rǔ,"{'character': '汝', 'once': ['氵', '女'], 'radical': ['氵', '女'], 'graphical': ['⺀', '㇀', '㇛', '一', '丿']}",you,,,,,,1978,3430,2,"['氵 [water]女 [woman]\t', '氵\t女', '⺀\t㇀\t㇛\t一\t丿']"
缸,vat,ㄍㄤ,gāng,"{'character': '缸', 'once': ['缶', '工'], 'radical': ['缶', '工'], 'graphical': ['一', '一', '丨', '㇒', '丨', '凵', '一', '丨', '一']}","earthen jug, crock, cistern",,,,,2832,1980,2731,2,"['缶 [tin can]工 [work/I-beam]\t', '缶\t工', '一\t一\t丨\t㇒\t丨\t凵\t一\t丨\t一']"
慾,lust,ㄩ`,yù,"{'character': '慾', 'once': ['欲', '心'], 'radical': ['谷', '欠', '心'], 'graphical': ['八', '人', '口', '⺈', '人', '𠁼', '㇃']}","lust, desire, passion; appetite",,,,,648,1981,,,"['欲 [desire]心 [heart]\t', '谷\t欠\t心', '八\t人\t口\t⺈\t人\t𠁼\t㇃']"
盧,Louvre,ㄌㄨˊ,lú,"{'character': '盧', 'once': ['𧆨', '皿'], 'radical': ['虍', '田', '皿'], 'graphical': ['丨', '一', '冖', '乚', '一', '冂', '一', '丨', '一', '冂', '丨', '一']}","cottage, hut; surname; black",,,,卢,2869,2233,2111,1,"['𧆨皿 [dish]\t', '虍\t田\t皿', '丨\t一\t冖\t乚\t一\t冂\t一\t丨\t一\t冂\t丨\t一']"
爐,stove,ㄌㄨˊ,lú,"{'character': '爐', 'once': ['火', '盧'], 'radical': ['火', '虍', '田', '皿'], 'graphical': ['丿', '丶', '冫', '丨', '一', '冖', '乚', '一', '冂', '一', '丨', '一', '冂', '丨', '一']}","fireplace, stove, oven, furnace",爐子,ㄌㄨˊㄗ˙,lúzi,炉,2870,1982,1781,2,"['火 [fire]盧 [Louvre]\t', '火\t虍\t田\t皿', '丿\t丶\t冫\t丨\t一\t冖\t乚\t一\t冂\t一\t丨\t一\t冂\t丨\t一']"
魅,enchant,ㄇㄟ`,mèi,"{'character': '魅', 'once': ['鬼', '未'], 'radical': ['鬼', '木', '一'], 'graphical': ['冂', '二', '丨', '丶', '乚', '㇛', '丶', '一', '丨', '八', '一']}","kind of forest demon, elf",魅力,ㄇㄟ`ㄌㄧ`,mèilì,,2900,1983,2900,3,"['鬼 [ghost]未 [not yet]\t', '鬼\t木\t一', '冂\t二\t丨\t丶\t乚\t㇛\t丶\t一\t丨\t八\t一']"
丈,100 Chinese Inches,ㄓㄤ`,zhàng,"{'character': '丈', 'once': ['十', '乂'], 'radical': ['十', '乂'], 'graphical': ['一', '丨', '乂']}","unit of length equal 3.3 meters; gentleman, man, husband",姑丈 丈夫,ㄍㄨ ㄓㄤ`  ㄓㄤ`ㄈㄨ˙,gūzhàng zhàngfu,,776,1984,1434,1,"['十 [ten]乂 [sheaf]\t', '十\t乂', '一\t丨\t乂']"
巡,patrol,ㄒㄩㄣˊ,xún,"{'character': '巡', 'once': ['辶', '巛'], 'radical': ['辶', '巛'], 'graphical': ['丶', '㇆', '㇝', '巛']}","patrol, go on circuit, cruise",巡邏 巡視,ㄒㄩㄣˊㄌㄨㄛˊ  ㄒㄩㄣˊㄕ`,xúnluó xúnshì,,272,1985,2228,3,"['辶 [road]巛\t', '辶\t巛', '丶\t㇆\t㇝\t巛']"
措,arrange,ㄘㄨㄛ`,cuò,"{'character': '措', 'once': ['扌', '昔'], 'radical': ['扌', '艹', '一', '日'], 'graphical': ['亅', '二', '艹', '一', '口', '一']}","place; collect, arrange; employ",措施,ㄘㄨㄛ`ㄕ ,cuòshī,,2172,1986,1462,3,"['扌 [finger]昔 [times past]\t', '扌\t艹\t一\t日', '亅\t二\t艹\t一\t口\t一']"
秤,scale,ㄔㄥ`,chèng,"{'character': '秤', 'once': ['禾', '平'], 'radical': ['禾', '干', '丷'], 'graphical': ['㇒', '一', '丨', '八', '一', '一', '丨', '丷']}","balance, scale, steelyard",,,,,2466,1987,3185,3,"['禾 [standing grain]平 [even]\t', '禾\t干\t丷', '㇒\t一\t丨\t八\t一\t一\t丨\t丷']"
沿,along,ㄧㄢˊ,yán,"{'character': '沿', 'once': ['氵', 'No glyph available'], 'radical': ['氵', '几', '口'], 'graphical': ['⺀', '㇀', '丿', '㇠', '口']}","follow a course, go along",沿海 沿途 沿襲,ㄧㄢˊㄏㄞˇ  ㄧㄢˊㄊㄨˊ  ㄧㄢˊㄒㄧˊ,yánhǎi yántú yánxí,,2764,1988,1236,3,"['氵 [water]\t', '氵\t几\t口', '⺀\t㇀\t丿\t㇠\t口']"
痕,trace,ㄏㄣˊ,hén,"{'character': '痕', 'once': ['疒', '艮'], 'radical': ['疒', '艮'], 'graphical': ['一', '丶', '厂', '丶', '丨', '㇕', '二', '乚', '冫']}",scar; mark; trace,痕跡,ㄏㄣˊㄐㄧ`,hénjì,,2604,1989,2300,3,"['疒 [illness]艮 [silver]\t', '疒\t艮', '一\t丶\t厂\t丶\t丨\t㇕\t二\t乚\t冫']"
濫,indiscriminate,ㄌㄢ`,làn,"{'character': '濫', 'once': ['氵', '監'], 'radical': ['氵', '臣', '丿', '一', '丶', '皿'], 'graphical': ['⺀', '㇀', '一', '㇗', '丨', '匚', '丿', '一', '丶', '冂', '丨', '一']}","flood, overflow; excessive",濫用,ㄌㄢ`ㄩㄥ`,lànyòng,滥,2430,1990,2614,4,"['氵 [water]監 [supervise/*webcam]\t', '氵\t臣\t丿\t一\t丶\t皿', '⺀\t㇀\t一\t㇗\t丨\t匚\t丿\t一\t丶\t冂\t丨\t一']"
漲,swell,ㄓㄤˇ,zhǎng,"{'character': '漲', 'once': ['氵', '張'], 'radical': ['氵', '弓', '長'], 'graphical': ['⺀', '㇀', '匚', '㇉', '彐', '一', '乚', '冫']}",rise in price,漲價 上漲,ㄓㄤˇㄐㄧㄚ`  ㄕㄤ`ㄓㄤˇ,zhǎngjià shàngzhǎng,涨,1389,1991,1946,3,"['氵 [water]張 [stretch]\t', '氵\t弓\t長', '⺀\t㇀\t匚\t㇉\t彐\t一\t乚\t冫']"
腰,waist,ㄧㄠ,yāo,"{'character': '腰', 'once': ['月', 'No glyph available'], 'radical': ['月', '西', '女'], 'graphical': ['冂', '二', '一', '丿', '乚', '冂', '一', '㇛', '一', '丿']}",waist; kidney,彎腰 撐腰,ㄨㄢ ㄧㄠ   ㄔㄥ ㄧㄠ ,wānyāo chēngyāo,,1193,1992,1496,4,"['月 [flesh/moon]\t', '月\t西\t女', '冂\t二\t一\t丿\t乚\t冂\t一\t㇛\t一\t丿']"
賤,cheap,ㄐㄧㄢ`,jiàn,"{'character': '賤', 'once': ['貝', '戔'], 'radical': ['貝', '戔'], 'graphical': ['口', '二', '八', '戔']}","mean, low; cheap, worthless",,,,贱,352,1993,2769,3,"['貝 [shellfish]戔 [float]\t', '貝\t戔', '口\t二\t八\t戔']"
妥,appropriate,ㄊㄨㄛˇ,tuǒ,"{'character': '妥', 'once': ['爫', '女'], 'radical': ['爫', '女'], 'graphical': ['爫', '㇛', '一', '丿']}","satisfactory, appropriate",妥當 妥善 妥協,ㄊㄨㄛˇㄉㄤ˙  ㄊㄨㄛˇㄕㄢ`  ㄊㄨㄛˇㄒㄧㄝˊ,tuǒdang tuǒshàn tuǒxié,,1859,1994,2228,2,"['爫女 [woman]\t', '爫\t女', '爫\t㇛\t一\t丿']"
液,liquid,ㄧㄝ`,yè,"{'character': '液', 'once': ['氵', '夜'], 'radical': ['氵', '亠', '亻', '夂', '丶'], 'graphical': ['⺀', '㇀', '一', '丶', '㇒', '丨', '㇇', '㇏', '㇒', '丶']}","sap, juice, liquid, fluid",血液 液體,ㄒㄩㄝ`ㄧㄝ`  ㄧㄝ`ㄊㄧˇ,xuèyè yètǐ,,808,1995,983,3,"['氵 [water]夜 [night]\t', '氵\t亠\t亻\t夂\t丶', '⺀\t㇀\t一\t丶\t㇒\t丨\t㇇\t㇏\t㇒\t丶']"
鵝,goose,ㄜˊ,é,"{'character': '鵝', 'once': ['我', '鳥'], 'radical': ['手', '戈', '鳥'], 'graphical': ['㇒', '亅', '二', '戈', '匚', '一', '㇉', '丶', '一', '灬']}",goose,,,,鹅,2817,1996,2433,2,"['我 [I/I-Carly]鳥 [bird]\t', '手\t戈\t鳥', '㇒\t亅\t二\t戈\t匚\t一\t㇉\t丶\t一\t灬']"
軌,rails,ㄍㄨㄟˇ,guǐ,"{'character': '軌', 'once': ['車', '九'], 'radical': ['車', '丿', '㇈'], 'graphical': ['二', '丨', '口', '一', '丿', '㇈']}","track, rut, path",軌道,ㄍㄨㄟˇㄉㄠ`,guǐdào,轨,1597,1997,1856,2,"['車 [car]九 [nine]\t', '車\t丿\t㇈', '二\t丨\t口\t一\t丿\t㇈']"
陵,mausoleum,ㄌㄧㄥˊ,líng,"{'character': '陵', 'once': ['阝', '夌'], 'radical': ['阝', '土', '八', '夂'], 'graphical': ['丨', '㇌', '一', '丨', '一', '八', '㇇', '㇏', '㇒']}","hill, mound; mausoleum",丘陵,ㄑㄧㄡ ㄌㄧㄥˊ,qiūlíng,,2498,1999,2228,4,"['阝 [city walls]夌 [Minute Ricemen]\t', '阝\t土\t八\t夂', '丨\t㇌\t一\t丨\t一\t八\t㇇\t㇏\t㇒']"
扭,twist,ㄋㄧㄡˇ,niǔ,"{'character': '扭', 'once': ['扌', '丑'], 'radical': ['扌', '刀', '二'], 'graphical': ['亅', '二', '㇆', '丿', '二']}","turn, twist, wrench; seize, grasp",扭轉,ㄋㄧㄡˇㄓㄨㄢˇ,niǔzhuǎn,,1490,2001,1946,2,"['扌 [finger]丑 [clown]\t', '扌\t刀\t二', '亅\t二\t㇆\t丿\t二']"
漠,desert,ㄇㄛ`,mò,"{'character': '漠', 'once': ['氵', '莫'], 'radical': ['氵', '艹', '日', '大'], 'graphical': ['⺀', '㇀', '艹', '口', '一', '人', '一']}","desert; aloof, indifferent, cool",沙漠 漠視,ㄕㄚ ㄇㄛ`  ㄇㄛ`ㄕ`,shāmò mòshì,,219,2002,2064,4,"['氵 [water]莫 [nobody]\t', '氵\t艹\t日\t大', '⺀\t㇀\t艹\t口\t一\t人\t一']"
祕,confidential,ㄇㄧ`,mì,"{'character': '祕', 'once': ['礻', '必'], 'radical': ['礻', '心', '丿'], 'graphical': ['一', '一', '丨', '一', '丶', '戈', '丨', '丶', '𠁼', '㇃', '丿']}","mysterious, secret, abstruse",,,,,2104,2003,,,"['礻 [altar]必 [certainly]\t', '礻\t心\t丿', '一\t一\t丨\t一\t丶\t戈\t丨\t丶\t𠁼\t㇃\t丿']"
蝦,shrimp,ㄒㄧㄚ,xiā,"{'character': '蝦', 'once': ['虫', '叚'], 'radical': ['虫', '尸', '二', 'No glyph available', '又'], 'graphical': ['口', '丨', '𠂉', '丨', '匚', '二', '匚', '㇇', '㇏']}","shrimp, prawn",蝦子 蝦米,ㄒㄧㄚ ㄗˇ  ㄒㄧㄚ ㄇㄧˇ,xiāzǐ xiāmǐ,虾,1359,2004,2809,2,"['虫 [insect]叚 [braces]\t', '虫\t尸\t二\tNo glyph available\t又', '口\t丨\t𠂉\t丨\t匚\t二\t匚\t㇇\t㇏']"
捉,catch,ㄓㄨㄛ,zhuō,"{'character': '捉', 'once': ['扌', '足'], 'radical': ['扌', '足'], 'graphical': ['亅', '二', '口', '龰']}","grasp, clutch; catch, seize",,,,,2255,2005,1932,3,"['扌 [finger]足 [lower leg/ wooden leg]\t', '扌\t足', '亅\t二\t口\t龰']"
謠,rumor,ㄧㄠˊ,yáo,"{'character': '謠', 'once': ['言', 'No glyph available'], 'radical': ['言', '月', '缶'], 'graphical': ['一', '丶', '二', '口', '冂', '二', '一', '一', '丨', '㇒', '丨', '凵']}","sing; folksong, ballad; rumor",民謠 謠言,ㄇㄧㄣˊㄧㄠˊ  ㄧㄠˊㄧㄢˊ,mínyáo yáoyán,谣,2840,2006,2962,4,"['言 [say]\t', '言\t月\t缶', '一\t丶\t二\t口\t冂\t二\t一\t一\t丨\t㇒\t丨\t凵']"
氛,atmosphere,ㄈㄣ,fēn,"{'character': '氛', 'once': ['气', '分'], 'radical': ['气', '八', '刀'], 'graphical': ['丿', '一', '一', '㇠', '八', '㇆', '丿']}","gas, vapor, air",氣氛,ㄑㄧ`ㄈㄣ ,qìfēn,,2772,2007,2268,3,"['气 [air]分 [part]\t', '气\t八\t刀', '丿\t一\t一\t㇠\t八\t㇆\t丿']"
膠,gum,ㄐㄧㄠ,jiāo,"{'character': '膠', 'once': ['月', '翏'], 'radical': ['月', '羽', '人', '彡'], 'graphical': ['冂', '二', '羽', '人', '彡']}","glue, gum, resin, rubber",塑膠,ㄙㄨ`ㄐㄧㄠ ,sùjiāo,胶,2647,2008,1920,2,"['月 [flesh/moon]翏\t', '月\t羽\t人\t彡', '冂\t二\t羽\t人\t彡']"
遞,hand over,ㄉㄧ`,dì,"{'character': '遞', 'once': ['辶', '虒'], 'radical': ['辶', '⺁', '虍', '几'], 'graphical': ['丶', '㇆', '㇝', '丿', '㇒', '丨', '一', '冖', '乚', '一', '丿', '㇠']}","hand over, deliver; substitute",傳遞,ㄔㄨㄢˊㄉㄧ`,chuándì,递,2865,2009,1723,3,"['辶 [road]虒\t', '辶\t⺁\t虍\t几', '丶\t㇆\t㇝\t丿\t㇒\t丨\t一\t冖\t乚\t一\t丿\t㇠']"
葬,inter,ㄗㄤ`,zàng,"{'character': '葬', 'once': ['艹', 'No glyph available'], 'radical': ['艹', '歹', '匕', '艹'], 'graphical': ['艹', '一', '夕', '乚', '㇒', '艹']}","bury, inter",葬禮,ㄗㄤ`ㄌㄧˇ,zànglǐ,,665,2585,2189,3,"['艹 [flower]\t', '艹\t歹\t匕\t艹', '艹\t一\t夕\t乚\t㇒\t艹']"
髒,dirty,ㄗㄤ,zāng,"{'character': '髒', 'once': ['No glyph available', 'No glyph available'], 'radical': ['冂', '㇆', '冂', '月', '艹', '歹', '匕', '廾'], 'graphical': ['冂', '㇆', '冂', '冂', '二', '艹', '一', '夕', '乚', '㇒', '廾']}",dirty; firm; fat,骯髒,ㄤ ㄗㄤ ,āngzāng,脏,2272,2012,,,"['\t', '冂\t㇆\t冂\t月\t艹\t歹\t匕\t廾', '冂\t㇆\t冂\t冂\t二\t艹\t一\t夕\t乚\t㇒\t廾']"
倆,duo,ㄌㄧㄚˇ,liǎ,"{'character': '倆', 'once': ['亻', '兩'], 'radical': ['亻', '一', '巾', '𠓜'], 'graphical': ['㇒', '丨', '一', '冂', '丨', '𠓜']}","clever, skilled; two, pair",,,,俩,1451,2013,1675,2,"['亻 [Jesus]兩 [dos]\t', '亻\t一\t巾\t𠓜', '㇒\t丨\t一\t冂\t丨\t𠓜']"
旺,thriving,ㄨㄤ`,wàng,"{'character': '旺', 'once': ['日', '王'], 'radical': ['日', '王'], 'graphical': ['口', '一', '一', '一', '丨', '一']}",prosper; prosperous; increase,旺季 旺盛,ㄨㄤ`ㄐㄧ`  ㄨㄤ`ㄕㄥ`,wàngjì wàngshèng,,1577,2014,1956,2,"['日 [day]王 [king]\t', '日\t王', '口\t一\t一\t一\t丨\t一']"
燕,swallow,ㄧㄢ`,yàn,"{'character': '燕', 'once': ['No glyph available', '灬'], 'radical': ['廿', '北', '口', '灬'], 'graphical': ['卄', '一', '北', '口', '灬']}","swallow (bird); comfort, enjoy",燕窩 燕子,ㄧㄢ`ㄨㄛ   ㄧㄢ`ㄗ˙,yànwō yànzi,,2174,2016,1956,1,"['灬 [campfire]\t', '廿\t北\t口\t灬', '卄\t一\t北\t口\t灬']"
茂,lush,ㄇㄠ`,mào,"{'character': '茂', 'once': ['艹', '戊'], 'radical': ['艹', '厂', '戈'], 'graphical': ['艹', '厂', '戈']}","thick, lush, dense; talented",茂密,ㄇㄠ`ㄇㄧ`,màomì,,340,2018,2228,3,"['艹 [flower]戊 [parade]\t', '艹\t厂\t戈', '艹\t厂\t戈']"
