資,assets,ㄗ,zī,戈人月山金,property; wealth; capital,投資 資料 資源,ㄊㄡˊㄗ   ㄗ ㄌㄧㄠ`  ㄗ ㄩㄢˊ,tóuzī zīliào Zīyuán,资,444,13
弓,bow,ㄍㄨㄥ,gōng,弓,"bow; curved, arched; KangXi radical number 57",,,,,941,2472
兀,,ㄨ`,wù,一山,to cut off the feet,突兀,ㄊㄨ ㄨ`,tūwù,,,3743
女,woman,undefinedˇ,nǚ,女,"woman, girl; feminine; rad. 38",女兒 女生 女人,undefinedˇㄦˊ  undefinedˇㄕㄥ   undefinedˇㄖㄣˊ,nǚér nǚshēng nǚrén,,96,143
西,west,ㄒㄧ,xī,一金田,"west(ern); westward, occident",東西 西部 西邊,ㄉㄨㄥ ㄒㄧ   ㄒㄧ ㄅㄨ`  ㄒㄧ ㄅㄧㄢ ,dōngxī xībù xībiān,,1191,312
要,want,ㄧㄠ`,yào,一田女,"necessary, essential; necessity",重要 需要 要是,ㄓㄨㄥ`ㄧㄠ`  ㄒㄩ ㄧㄠ`  ㄧㄠ`ㄕ˙,zhòngyào xūyào yàoshi,,1192,14
以,by means of,ㄧˇ,yǐ,女戈人,"by means of; thereby, therefore; consider as; in order to",可以 以前 以後,ㄎㄜˇㄧˇ  ㄧˇㄑㄧㄢˊ  ㄧˇㄏㄡ`,kěyǐ yǐqián yǐhòu,,796,15
丁,fourth,ㄉㄧㄥ,dīng,一弓,"male adult; robust, vigorous; 4th heavenly stem",,,,,86,1324
可,can,ㄎㄜˇ,kě,一弓口,"may, can, -able; possibly",可以 可是 可能,ㄎㄜˇㄧˇ  ㄎㄜˇㄕ`  ㄎㄜˇㄋㄥˊ,kěyǐ kěshì kěnéng,,88,16
立,standing up,ㄌㄧ`,lì,卜廿,"stand; let stand; establish, set",建立 立刻 成立,ㄐㄧㄢ`ㄌㄧ`  ㄌㄧ`ㄎㄜ`  ㄔㄥˊㄌㄧ`,jiànlì lìkè chénglì,,408,248
言,say,ㄧㄢˊ,yán,卜一一口,"words, speech; speak, say",語言 留言 總而言之,ㄩˇㄧㄢˊ  ㄌㄧㄡˊㄧㄢˊ  ㄗㄨㄥˇㄦˊㄧㄢˊㄓ ,yǔyán liúyán zǒngéryánzhī,,320,280
這,this,ㄓㄜ`,zhè,卜卜一口,"this, the, here",這裡 這兒 這邊,ㄓㄜ`ㄌㄧˇ  ㄓㄜ`ㄦ˙  ㄓㄜ`ㄅㄧㄢ ,zhèlǐ zhèr zhèbiān,这,332,17
古,ancient,ㄍㄨˇ,gǔ,十口,"old, classic, ancient",古代 古老 古典,ㄍㄨˇㄉㄞ`  ㄍㄨˇㄌㄠˇ  ㄍㄨˇㄉㄧㄢˇ,gǔdài gǔlǎo gǔdiǎn,,16,626
固,solid,ㄍㄨ`,gù,田十口,"to become solid, solidify; strength",固定 膽固醇 鞏固,ㄍㄨ`ㄉㄧㄥ`  ㄉㄢˇㄍㄨ`ㄔㄨㄣˊ  ㄍㄨㄥˇㄍㄨ`,gùdìng dǎngùchún gǒnggù,,515,1332
個,individual,ㄍㄜ`,gè,人田十口,"numerary adjunct, piece; single",個人 個子 個別,ㄍㄜ`ㄖㄣˊ  ㄍㄜ`ㄗ˙  ㄍㄜ`ㄅㄧㄝˊ,gèrén gèzi gèbié,个,757,18
小,small,ㄒㄧㄠˇ,xiǎo,弓金,"small, tiny, insignificant",小姐 小時 小孩,ㄒㄧㄠˇㄐㄧㄝ˙  ㄒㄧㄠˇㄕˊ  ㄒㄧㄠˇㄏㄞˊ,xiǎojie xiǎoshí xiǎohái,,103,50
你,you,ㄋㄧˇ,nǐ,人弓火,"you, second person pronoun",你們,ㄋㄧˇㄇㄣ˙,nǐmen,,741,19
曾,formerly,ㄘㄥˊ,céng,金田日,already; sign of past,曾經,ㄘㄥˊㄐㄧㄥ ,céngjīng,,470,389
會,meeting,ㄏㄨㄟ`,huì,人一田日,"to assemble, meet together; a meeting; an organization",晚會 一會兒 開會,ㄨㄢˇㄏㄨㄟ`  ㄧ ㄏㄨㄟ`ㄦ˙  ㄎㄞ ㄏㄨㄟ`,wǎnhuì yīhuìr kāihuì,会,244,20
子,child,ㄗ˙,zi,弓木,"offspring, child; fruit, seed of; 1st terrestrial branch",車子 孩子 兒子,ㄔㄜ ㄗ˙  ㄏㄞˊㄗ˙  ㄦˊㄗ˙,chēzi háizi érzi,,92,63
好,good,ㄏㄠˇ,hǎo,女弓木,"good, excellent, fine; well",好看 好吃 不好意思,ㄏㄠˇㄎㄢ`  ㄏㄠˇㄔ   ㄅㄨ`ㄏㄠˇㄧ`ㄙ˙,hǎokàn hǎochī bùhǎoyìsi,,97,21
爪,claw,ㄓㄠˇ,zhǎo,竹中人,"claw, nail, talon; animal feet",,,,,612,2678
火,fire,ㄏㄨㄛˇ,huǒ,火,"fire, flame; burn; anger, rage",火車 煙火 火柴,ㄏㄨㄛˇㄔㄜ   ㄧㄢ ㄏㄨㄛˇ  ㄏㄨㄛˇㄔㄞˊ,huǒchē yānhuǒ huǒchái,,157,527
為,act,ㄨㄟ`,wèi,戈大弓火,"do, handle, govern, act; be",為什麼 因為 認為,ㄨㄟ`ㄕㄣˊㄇㄜ˙  ㄧㄣ ㄨㄟ`  ㄖㄣ`ㄨㄟˊ,wèishénme yīnwèi rènwéi,为,1385,22
上,above,ㄕㄤ`,shàng,卜一,"top; superior, highest; go up, send up",早上 上午 晚上,ㄗㄠˇㄕㄤ˙  ㄕㄤ`ㄨˇ  ㄨㄢˇㄕㄤ˙,zǎoshang shàngwǔ wǎnshang,,44,23
