"hanzi","pinyin","loa","fo1","decomposition","simplified","network_level"
"釆","biàn","991","3986","釆","釆","1"
"歲","suì","992","772","岁","岁","1"
"短","duǎn","993","889","矢豆","短","2"
"烈","liè","993","802","列火","烈","3"
"映","yìng","995","1316","日央","映","3"
"背","bèi bēi","995","787","北肉","背","3"
"財","cái","995","680","贝才","财","2"
"吳","wú","995","1135","口夭","吴","2"
"葯","yào yuè","995","662","艸约","药","4"
"甲","jiǎ","1000","1106","甲","甲","1"
"承","chéng zhěng","1001","639","氶手","承","3"
"矛","máo","1001","1441","矛","矛","1"
"缶","fǒu guàn","1003","3951","缶","缶","1"
"盾","dùn shǔn yǔn","1004","1395","盾","盾","1"
"略","lüè lè","1004","704","田各","略","3"
"監","jiān jiàn kàn","1006","838","皿卧","监","3"
"折","zhē zhé shé","1006","1131","手斤","折","2"
"穿","chuān","1008","785","穴牙","穿","2"
"旁","páng bàng","1009","981","凡方","旁","2"
"移","yí chǐ yì","1010","880","禾多","移","3"
"室","shì","1010","708","宀至","室","2"
"飯","fàn","1010","935","食反","饭","3"
"辟","bì pì mǐ pī","1013","2136","卩口辛","辟","2"
"假","jiǎ jià xiá","1014","636","人叚","假","4"
"壞","huài","1014","832","土不","坏","2"
"鬼","guǐ","1016","1042","鬼","鬼","1"
"練","liàn","1017","1005","糸𫠣","练","2"
"缺","quē","1017","875","缶夬","缺","2"
"愿","yuàn","1017","598","心原","愿","4"
"疋","pǐ yǎ shū pī","1020","4017","疋","疋","1"
"尹","yǐn","1020","2877","爪","尹","2"
"超","chāo chǎo chào tiào","1022","754","走召","超","3"
"慢","màn","1023","822","心曼","慢","3"
"呼","hū xū","1023","843","口乎","呼","2"
"旡","jì","1025","4017","旡","旡","1"
"靈","líng lìng","1026","734","彑火","灵","2"
"讀","dú dòu","1027","752","言卖","读","4"
"副","fù pì","1027","764","畐刀","副","2"
"歌","gē","1027","1040","哥欠","歌","4"
"謂","wèi","1027","945","言胃","谓","4"
"宣","xuān","1031","770","宀亘","宣","2"
"退","tuì","1032","723","辵艮","退","3"
"培","péi pǒu","1033","1152","土咅","培","3"
"童","tóng zhōng","1033","1229","辛重","童","3"
"衛","wèi","1033","669","卫","卫","1"
"虍","hū","1036","4017","虍","虍","1"
"奴","nú","1037","1402","女又","奴","2"
"傷","shāng","1038","660","人人力","伤","2"
"評","píng","1038","809","言平","评","4"
"劉","liú","1040","751","文刀","刘","2"
"俞","yú yù shù","1041","3218","亼月刀","俞","2"
"骨","gǔ gū gú","1042","1036","骨","骨","1"
"掌","zhǎng","1042","890","尚手","掌","3"
"預","yù","1042","647","予页","预","4"
"核","hé hú","1042","828","木亥","核","2"
"訴","sù","1046","595","言斥","诉","4"
"擔","dān dàn","1046","720","手旦","担","3"
"惊","jīng","1046","659","心京","惊","2"
"亂","luàn","1049","765","舌乚","乱","3"
"氧","yǎng","1050","1863","气羊","氧","2"
"沙","shā shà suō","1051","848","水少","沙","2"
"爺","yé","1052","1006","父卩","爷","2"
"洲","zhōu","1052","701","水州","洲","3"
"判","pàn","1052","719","半刀","判","3"
"升","shēng","1052","837","斗","升","2"
"叔","shū","1052","1422","尗又","叔","3"
"𡨄","xià sāi sài sè","1057","4017","宀工廾","𡨄","2"
"苗","miáo","1058","1920","艸田","苗","3"
"案","àn","1058","518","安木","案","3"
"協","xié","1060","735","十办","协","3"
"福","fú fù","1061","683","示畐","福","2"
"味","wèi","1061","844","口未","味","3"
"貨","huò","1061","818","化贝","货","3"
"寅","yín","1064","3368","寅","寅","1"
"促","cù","1064","1102","人足","促","3"
"禸","róu","1066","4017","禸","禸","1"
"困","kùn","1066","868","囗木","困","2"
"𥁕","wēn yùn","1068","4017","日皿","昷","2"
"握","wò","1069","1032","手屋","握","3"
"宓","mì fú","1069","3846","宀必","宓","2"
"端","duān","1069","916","立耑","端","2"
"曼","màn mán","1072","1224","冃目又","曼","2"
"針","zhēn","1073","1116","金十","针","3"
"勻","yún","1074","2687","勹二","匀","2"
"屯","tún zhūn","1075","2856","屯","屯","1"
"堯","yáo","1076","3229","土兀","尧","4"
"𢦏","zāi","1077","4017","戈才","𢦏","2"
"痛","tòng","1077","730","疒甬","痛","2"
"聞","wén wèn","1077","825","门耳","闻","2"
"檢","jiǎn","1077","731","木佥","检","2"
"顧","gù","1081","815","厄页","顾","4"
"婦","fù","1081","932","女彑","妇","2"
"擴","kuò","1083","1051","手广","扩","2"
"享","xiǎng","1084","1227","享","享","1"
"香","xiāng","1085","776","禾日","香","2"
"玄","xuán xuàn","1086","1717","玄","玄","1"
"嘴","zuǐ","1087","1010","口觜","嘴","4"
"印","yìn","1088","640","爪卩","印","2"
"銷","xiāo","1088","904","金肖","销","3"
"跳","tiào táo diào tiáo","1090","999","足兆","跳","4"
"煙","yān","1090","967","火因","烟","3"
"莊","zhuāng","1090","1024","广土","庄","2"
"替","tì","1093","1079","夫曰","替","3"
"紙","zhǐ","1094","1020","糸氏","纸","2"
"板","bǎn","1095","930","木反","板","3"
"睛","jīng jǐng","1096","934","目青","睛","4"
"末","mò","1096","1164","木","末","2"
"垂","chuí","1098","1592","土𠂹","垂","2"
"誤","wù","1099","854","言吴","误","4"
"卓","zhuó zhuō","1100","1942","匕早","卓","3"
"舛","chuǎn","1101","3912","夊","舛","2"
"季","jì","1102","1279","禾子","季","2"
"搞","gǎo","1102","1146","手高","搞","2"
"探","tàn tān","1102","917","手罙","探","3"
"座","zuò","1102","812","广坐","座","3"
"忽","hū","1102","912","勿心","忽","3"
"燈","dēng","1102","1115","火丁","灯","2"
"邦","bāng","1108","1363","丰阝","邦","4"
"杀","shā sà shài shè","1108","587","杀","杀","1"
"祖","zǔ jiē","1110","1025","示且","祖","2"
"順","shùn","1110","938","川页","顺","4"
"戉","yuè","1110","4017","戉","戉","1"
"婚","hūn","1110","942","女昏","婚","3"
"索","suǒ","1110","805","廾糸","索","2"
"趕","gǎn","1115","908","走干","赶","3"
"玨","jué","1115","4017","玉","玨","2"
"踐","jiàn","1117","1578","足戋","践","3"
"銀","yín","1118","757","金艮","银","3"
"爸","bà","1118","1050","父巴","爸","2"
"熟","shú shóu","1118","1035","孰火","熟","3"
"辰","chén","1118","2313","辰","辰","1"
"守","shǒu shòu","1118","796","宀寸","守","2"
"臨","lín lìn","1118","839","卧品","临","3"
"敫","jiǎo jiào","1124","3971","白放","敫","4"
"陸","lù liù","1125","675","阝击","陆","4"
"唐","táng","1125","973","庚口","唐","2"
"佛","fó fú bì bó","1125","771","人弗","佛","2"
"胞","bāo páo pào","1125","1341","肉包","胞","3"
"討","tǎo","1125","833","言寸","讨","4"
"補","bǔ","1125","944","衣卜","补","2"
"犯","fàn","1125","767","犬卩","犯","2"
"匹","pǐ","1132","1908","匚八","匹","2"
"曷","hé","1133","3947","曰匃","曷","3"
"廷","tíng","1134","1626","廴𡈼","廷","3"
"歸","guī kuì","1134","933","〢彑","归","2"
"圓","yuán","1134","1145","囗员","圆","3"
"危","wēi wéi","1137","826","厃卩","危","3"
"域","yù","1138","847","土或","域","3"
"審","shěn","1139","746","宀申","审","2"
"疑","yí nǐ níng","1140","698","疑","疑","1"
"罪","zuì","1140","718","网非","罪","2"
"斬","zhǎn","1142","2459","车斤","斩","2"
"追","zhuī duī tuī","1143","768","辵𠂤","追","3"
"脫","tuō tuì","1143","943","肉兑","脱","4"
"野","yě","1145","845","里予","野","3"
"秋","qiū","1145","1150","禾火","秋","2"
"頂","dǐng","1147","1000","丁页","顶","4"
"課","kè","1147","1208","言果","课","4"
"弱","ruò","1147","1038","弓","弱","2"
"松","sōng","1150","895","木公","松","3"
"訓","xùn","1151","1022","言川","训","4"
"掉","diào","1151","849","手卓","掉","4"
"𠂢","pài","1153","4017","永","𠂢","2"
"遍","biàn","1154","1012","辵扁","遍","3"
"賽","sài","1154","1064","𡨄贝","赛","3"
"庭","tíng tìng","1154","931","广廷","庭","4"
"卷","juàn juǎn quán","1157","1016","龹卩","卷","2"
"額","é","1158","936","客页","额","4"
"夏","xià jiǎ","1158","1126","首夊","夏","2"
"圣","shèng","1158","960","又土","圣","2"
"朋","péng","1161","882","月","朋","2"
"露","lòu lù","1162","841","雨路","露","4"
"綠","lǜ lù","1162","1088","糸录","绿","2"
"席","xí","1162","894","庶巾","席","4"
"酒","jiǔ","1162","797","水酉","酒","2"
"敢","gǎn","1162","795","攴","敢","3"
"登","dēng dé","1162","817","癶豆","登","2"
"堂","táng","1168","980","尚土","堂","3"
"鐘","zhōng","1169","905","金中","钟","3"
"寧","níng nìng","1169","1019","宁","宁","1"
"巩","gǒng","1171","2380","工凡","巩","2"
"染","rǎn","1172","1141","水九木","染","2"
"懷","huái","1172","762","心不","怀","2"
"歐","ōu ǒu","1172","823","区欠","欧","3"
"昌","chāng","1175","1606","日曰","昌","3"
"穩","wěn","1176","1055","禾急","稳","3"
"乏","fá","1176","1399","乏","乏","1"
"伯","bó bǎi bà","1176","821","人白","伯","2"
"編","biān biǎn biàn","1179","858","糸扁","编","3"
"貫","guàn wān","1179","1478","毌贝贝","贯","2"
"斥","chì","1179","1857","斤","斥","2"
"罷","bà ba pí bǎi bǐ pì","1179","1305","网去","罢","2"
"抓","zhuā zhāo","1179","992","手爪","抓","2"
"暴","bào pù bó","1184","1028","日共米","暴","4"
"唱","chàng","1185","1252","口昌","唱","4"
"姑","gū","1185","994","女古","姑","3"
"咱","zán zá zǎ","1185","1265","口自","咱","2"
"皇","huáng wǎng","1185","759","白王","皇","2"
"唯","wéi wěi","1185","1094","口隹","唯","2"
"控","kòng qiāng","1190","780","手空","控","3"
"釋","shì yì","1190","813","釆𠬤","释","2"
"燒","shāo shào","1190","1201","火尧","烧","5"
"翻","fān","1190","1027","番羽","翻","3"
"陣","zhèn","1190","788","阝车","阵","4"
"怪","guài","1190","775","心圣","怪","3"
"幺","yāo","1196","3891","幺","幺","1"
"孫","sūn xùn","1197","995","子小","孙","2"
"楊","yáng","1198","1062","木𠃓","杨","2"
"您","nín","1198","726","你心","您","3"
"典","diǎn","1200","1044","丌册","典","2"
"詩","shī","1200","906","言寺","诗","4"
"滅","miè","1200","953","火","灭","2"
"鮮","xiān xiǎn xiàn","1203","958","鱼羊","鲜","2"
"惡","è wù ě wū","1204","792","亚心","恶","2"
"透","tòu shū","1204","1077","辵秀","透","3"
"附","fù bù fū pǒu","1206","923","阝付","附","4"
"輸","shū shù","1207","939","车俞","输","3"
"絲","sī","1207","1026","糸","丝","2"
"睡","shuì","1207","964","目垂","睡","3"
"彩","cǎi","1207","1177","采彡","彩","3"
"姐","jiě","1207","830","女且","姐","2"
"鼓","gǔ","1212","1123","壴支","鼓","3"
"伙","huǒ huo","1212","1047","人火","伙","2"
"迫","pò pǎi","1212","1007","辵白","迫","3"
"借","jiè","1212","984","人昔","借","3"
"奐","huàn","1216","3620","人穴廾","奂","2"
"夋","qūn","1216","4017","允夂","夋","4"
"攸","yōu","1216","3362","人攴","攸","3"
"暗","àn","1219","829","日音","暗","5"
"鏡","jìng","1219","1251","金竟","镜","6"
"刺","cì cī qì","1219","1058","朿刀","刺","2"
"溶","róng","1222","2274","水容","溶","4"
"菜","cài","1222","1266","艸采","菜","3"
"哈","hā hǎ hà","1222","713","口合","哈","3"
"序","xù","1222","836","广予","序","2"
"康","kāng","1226","900","庚","康","2"
"亘","gèn gèng","1226","3676","亘","亘","1"
"搖","yáo","1228","940","手䍃","摇","3"
"禮","lǐ","1228","926","示乚","礼","2"
"汽","qì gāi yǐ","1228","1200","水气","汽","2"
"筆","bǐ","1228","956","竹毛","笔","2"
"迅","xùn","1232","1090","辵卂","迅","3"
"亭","tíng","1232","2002","高丁","亭","2"
"險","xiǎn jiǎn yán","1232","672","阝佥","险","4"
"票","piào piāo","1235","910","覀示","票","3"
"彈","dàn tán","1236","632","弓单","弹","2"
"沿","yán yàn","1236","1182","水㕣","沿","3"
"胃","wèi","1236","1957","田肉","胃","2"
"𡿺","nǎo nào","1236","4017","㐫","㐫","1"
"遺","yí suí wèi","1236","892","辵贵","遗","3"
"威","wēi","1236","622","戌女","威","2"
"私","sī","1236","1023","禾厶","私","2"
"耑","duān zhuān","1236","4006","耑","耑","1"
"灰","huī","1244","1311","𠂇火","灰","2"
"寶","bǎo","1245","811","宀玉","宝","2"
"雪","xuě","1245","1003","雨彑","雪","2"
"攻","gōng","1245","588","工攴","攻","3"
"抽","chōu","1245","1178","手由","抽","3"
"岸","àn","1249","971","山厂干","岸","2"
"昏","hūn mǐn","1249","1561","氏日","昏","2"
"毒","dú dài","1251","947","丰母","毒","3"
"敬","jìng","1251","1209","苟攴","敬","4"
"頓","dùn dú zhūn","1251","794","屯页","顿","4"
"藏","cáng zàng zāng","1251","907","艸臧","藏","4"
"慮","lǜ lǘ","1255","901","虍心","虑","2"
"鎮","zhèn tián zhēn","1256","1002","金真","镇","4"
"趣","qù cù cǒu qū zōu","1256","1065","走取","趣","3"
"擺","bǎi","1256","1158","手罢","摆","3"
"智","zhì zhī","1256","885","知曰","智","3"
"救","jiù","1256","872","求攴","救","3"
"樓","lóu lǘ","1256","876","木娄","楼","3"
"園","yuán","1262","988","囗元","园","4"
"遇","yù","1262","899","辵禺","遇","3"
"雄","xióng","1262","1054","厷隹","雄","3"
"纍","léi lěi lèi","1265","1323","田糸","累","2"
"楚","chǔ","1266","859","林疋","楚","3"
"亏","kuī","1266","1738","丂","亏","2"
"卬","yǎng áng","1268","4017","匕卩","卬","2"
"侵","qīn","1269","1086","人又帚","侵","2"
"槍","qiāng chēng","1269","874","木仓","枪","3"
"健","jiàn","1271","979","人建","健","3"
"冰","bīng níng","1271","1070","仌水","冰","2"
"播","bō bǒ bò","1271","1275","手番","播","3"
"損","sǔn","1274","911","手员","损","3"
"舍","shě shè","1274","1344","舍","舍","1"
"途","tú","1274","1085","辵余","途","3"
"宜","yí","1274","1290","宀且","宜","2"
"夆","féng fēng páng","1278","4017","夂丰","夆","3"
"禺","yú yù ǒu","1279","3039","禹","禺","2"
"麗","lí lì","1279","834","丽","丽","1"
"湖","hú","1281","918","水胡","湖","4"
"糧","liáng","1281","1303","米良","粮","2"
"架","jià","1281","846","加木","架","3"
"納","nà","1281","684","糸内","纳","3"
"盛","shèng chéng","1281","1142","成皿","盛","3"
"諸","zhū chú","1281","1021","言者","诸","4"
"昆","kūn hùn","1287","1759","日比","昆","3"
"套","tào","1288","1091","大镸","套","2"
"牀","chuáng","1288","1068","广木","床","2"
"份","fèn bīn","1288","784","人分","份","3"
"毫","háo","1288","879","高毛","毫","2"
"敏","mǐn","1292","1436","每攴","敏","4"
"店","diàn","1293","1041","广占","店","3"
"奮","fèn","1293","1268","大田","奋","2"
"曹","cáo","1293","1570","东曰","曹","3"
"尊","zūn","1293","1134","酋寸","尊","3"
"延","yán","1293","1103","廴止","延","2"
"揚","yáng","1298","1084","手𠃓","扬","2"
"趙","zhào diào tiǎo","1298","1169","走乂","赵","3"
"獻","xiàn suō xī","1300","1192","南犬","献","2"
"混","hùn hún gǔn hǔn kūn","1300","1137","水昆","混","4"
"擇","zé zhái","1300","961","手𠬤","择","2"
"尃","fū","1303","4017","甫寸","尃","3"
"殖","zhí shi shì","1303","1438","歹直","殖","3"
"孔","kǒng","1305","1289","子乚","孔","2"
"鹽","yán yàn","1306","1885","土卜皿","盐","2"
"購","gòu","1306","1078","贝勾","购","3"
"縮","suō sù","1306","1304","糸宿","缩","4"
"徑","jìng","1309","1307","彳𢀖","径","2"
"恩","ēn","1310","888","因心","恩","3"
"偏","piān","1310","1204","人扁","偏","3"
"蓋","gài gě hé","1310","1052","羊皿","盖","2"
"叚","jiǎ jià xiá","1310","4017","石爪又","叚","3"
"款","kuǎn xīn","1310","807","士示欠","款","2"
"允","yǔn","1315","1443","厶儿","允","3"
"純","chún quán tún zhūn zhǔn zī","1316","1125","糸屯","纯","2"
"衡","héng","1316","1340","行角大","衡","2"
"托","tuō","1316","800","手乇","托","2"
"喊","hǎn","1316","1183","口咸","喊","3"
"繁","fán pó pán","1316","1296","敏糸","繁","5"
"阻","zǔ zhù","1316","1175","阝且","阻","4"
"氶","zhěng chéng zhèng","1322","4017","卩廾","氶","2"
"浪","làng láng","1323","1186","水良","浪","2"
"招","zhāo qiáo sháo","1323","941","手召","招","3"
"殊","shū","1323","1191","歹朱","殊","3"
"島","dǎo","1323","798","鸟山","岛","2"
"弄","nòng lòng","1327","1053","玉廾","弄","2"
"澤","zé shì duó yì","1327","951","水𠬤","泽","2"
"雷","léi lèi","1327","686","雨田","雷","2"
"符","fú","1327","1205","竹付","符","3"
"陰","yīn ān yìn","1327","987","阝月","阴","4"
"奶","nǎi","1332","1278","女乃","奶","2"
"斿","liú yóu","1332","4017","㫃子","斿","2"
"幼","yòu yào","1334","1577","幺力","幼","2"
"瓦","wǎ wà","1334","1195","瓦","瓦","1"
"厚","hòu","1336","1235","厂日子","厚","2"
"謝","xiè","1336","897","言射","谢","4"
"瓜","guā","1336","1827","瓜","瓜","1"
"喬","qiáo jiāo","1339","1488","夭〢","乔","2"
"伸","shēn","1340","1161","人申","伸","2"
"閃","shǎn","1340","1113","门人","闪","2"
"筑","zhù zhú","1340","1130","竹巩","筑","3"
"肯","kěn","1343","860","止肉","肯","2"
"蛋","dàn","1344","1387","虫疋","蛋","2"
"售","shòu","1344","1114","隹口","售","2"
"潮","cháo","1344","1302","水朝","潮","3"
"授","shòu","1344","968","手受","授","3"
"枝","zhī qí","1344","1491","木支","枝","3"
"冗","rǒng","1349","3540","冖几","冗","2"
"街","jiē","1350","1101","行圭","街","3"
"兼","jiān","1350","1515","爪禾","兼","2"
"敗","bài","1350","862","贝攴","败","3"
"迎","yíng yìng","1353","1069","辵卬","迎","3"
"爰","yuán","1353","3928","爪于又","爰","2"
"乘","chéng shèng","1353","1231","人木北","乘","3"
"虛","xū","1356","1071","虍业","虚","2"
"慣","guàn","1357","1226","心贯","惯","3"
"肥","féi bǐ","1357","1620","肉卩","肥","2"
"赤","chì","1357","1660","大火","赤","2"
"虎","hǔ hù","1360","1083","虍几","虎","2"
"夾","jiā jiá gā","1361","1758","大从","夹","3"
"荒","huāng huǎng kāng","1361","1328","艸巟","荒","4"
"奏","zòu","1361","1543","𡗗天","奏","3"
"振","zhèn zhēn zhěn","1361","1140","手辰","振","2"
"粉","fěn","1361","1498","米分","粉","3"
"礦","kuàng","1361","1385","石广","矿","3"
"壽","shòu","1361","1615","老寸","寿","2"
"偉","wěi","1361","1107","人韦","伟","2"
"禁","jīn jìn","1361","986","林示","禁","3"
"鋼","gāng gàng","1361","1609","金冈","钢","3"
"囪","cōng chuāng","1371","3474","囱","囱","1"
"忘","wàng wáng","1372","1056","亡心","忘","3"
"榮","róng","1372","993","𫇦木","荣","2"
"奪","duó","1372","1199","大寸","夺","2"
"畢","bì","1372","1093","比十","毕","3"
"股","gǔ","1376","644","肉殳","股","3"
"勇","yǒng","1376","1206","甬力","勇","2"
"宿","sù xiǔ xiù","1376","1751","宀人百","宿","3"
"硬","yìng gěng","1376","1170","石更","硬","3"
"避","bì","1376","991","辵辟","避","3"
"龹","juǎn juàn","1381","4017","龹","龹","1"
"巧","qiǎo","1382","1219","工丂","巧","2"
"輪","lún","1382","1096","车仑","轮","3"
"盤","pán xuán","1382","1049","舟皿","盘","2"
"焦","jiāo qiáo","1382","1554","隹火","焦","2"
"妹","mèi","1382","1185","女未","妹","3"
"尋","xún xín","1382","962","彑寸","寻","2"
"描","miáo","1382","1246","手苗","描","4"
"警","jǐng","1382","687","敬言","警","5"
"洞","dòng tóng","1382","1015","水同","洞","3"
"鬧","nào","1382","1336","门市","闹","2"
"紹","shào chāo","1382","1234","糸召","绍","3"
"幸","xìng","1393","902","幸","幸","1"
"壁","bì","1393","1380","辟土","壁","3"
"距","jù","1393","1202","足巨","距","3"
"玩","wán wàn","1396","1072","玉元","玩","4"
"休","xiū xǔ","1396","1082","人木","休","2"
"泛","fàn fá fán fěng","1396","1327","水乏","泛","2"
"哲","zhé","1396","1117","折口","哲","3"
"綜","zōng zèng zòng","1396","1425","糸宗","综","3"
"載","zài dài zāi zǎi zī","1401","977","𢦏车","载","3"
"窗","chuāng cōng","1401","1074","穴囱","窗","2"
"聚","jù","1401","1306","取人","聚","3"
"觸","chù","1404","1207","角虫","触","2"
"秘","mì bì bié","1404","896","禾必","秘","2"
"零","líng lián","1404","1342","雨令","零","3"
"俗","sú","1404","1354","人谷","俗","3"
"傾","qīng","1404","1260","人顷","倾","5"
"妻","qī qì","1404","1076","爪女屮","妻","2"
"哭","kū","1404","1210","口犬","哭","2"
"迷","mí mèi mì","1411","1153","辵米","迷","3"
"徹","chè","1412","1240","彳切","彻","3"
"喝","hē hè yè","1412","983","口曷","喝","4"
"努","nǔ","1412","1081","奴力","努","3"
"圈","quān juàn juān","1412","1366","囗卷","圈","3"
"晶","jīng","1412","1725","日","晶","2"
"操","cāo cào","1417","1173","手喿","操","4"
"菌","jūn jùn","1417","1733","艸囷","菌","3"
"尗","shú","1419","4017","上小","尗","2"
"仿","fǎng páng","1420","1259","人方","仿","2"
"橋","qiáo","1420","1292","木乔","桥","3"
"航","háng","1420","773","舟亢","航","2"
"淚","lèi lì","1420","1271","水目","泪","2"
"默","mò","1420","1031","黑犬","默","2"
"拍","pāi bó pò","1425","1167","手白","拍","2"
"掛","guà","1426","1232","手圭","挂","3"
"紛","fēn","1427","1181","糸分","纷","3"
"粒","lì","1427","1714","米立","粒","2"
"燃","rán","1427","1553","火然","燃","3"
"厄","è","1430","2403","厂卩","厄","2"
"庫","kù","1431","1097","广车","库","2"
"削","xiāo xuē","1431","1794","肖刀","削","3"
"婆","pó","1431","1347","波女","婆","4"
"丈","zhàng","1434","1242","丈","丈","1"
"尾","wěi yǐ","1434","1282","尸毛","尾","2"
"館","guǎn","1434","1011","食官","馆","3"
"梅","méi","1437","1159","木每","梅","4"
"泥","ní nì nǐ niè nìng","1437","1499","水尼","泥","3"
"稅","shuì tuàn tuì tuō","1437","781","禾兑","税","4"
"彎","wān","1437","1662","変弓","弯","2"
"殘","cán","1437","1151","歹戋","残","3"
"鷄","jī","1437","1391","又鸟","鸡","2"
"冒","mào mò","1437","1222","冃目","冒","2"
"寒","hán","1437","1297","𡨄仌","寒","3"
"墻","qiáng","1445","1212","土啬","墙","4"
"抱","bào","1445","1122","手包","抱","3"
"橫","héng hèng","1445","1330","木黄","横","2"
"慶","qìng","1445","1269","广大","庆","2"
"緩","huǎn","1445","1111","糸爰","缓","3"
"督","dū","1445","946","叔目","督","4"
"卒","zú cù","1451","2579","衣","卒","2"
"卂","xùn xìn","1451","4017","卂","卂","1"
"魯","lǔ lǚ","1453","898","鱼甘","鲁","3"
"倍","bèi","1453","1392","人咅","倍","3"
"械","xiè jiè","1453","1657","木戒","械","3"
"旅","lǚ","1453","950","㫃从","旅","3"
"尖","jiān","1453","1321","小大","尖","2"
"厷","gōng hóng","1453","4017","𠂇厶","厷","2"
"荼","tú chá shū yé","1453","3703","艸余","荼","3"
"蒙","mēng méng měng máng","1460","1039","艸冃豕","蒙","3"
"喿","zào qiāo sào","1461","4017","品木","喿","3"
"剝","bāo bō","1462","1959","录刀","剥","2"
"懂","dǒng","1462","1211","心董","懂","4"
"遭","zāo","1462","1048","辵曹","遭","4"
"卑","bēi","1462","2058","甲又","卑","2"
"粗","cū","1462","1414","米且","粗","2"
"措","cuò zé","1462","1148","手昔","措","3"
"兀","wù","1468","2851","儿","兀","3"
"茶","chá","1469","1272","荼","茶","4"
"潤","rùn","1469","1369","水闰","润","3"
"辯","biàn bàn biǎn pián","1469","1355","言辡","辩","4"
"側","cè zè zhāi","1469","1220","人则","侧","3"
"篇","piān","1473","1008","竹扁","篇","3"
"寬","kuān","1473","1155","宀艸见","宽","4"
"夢","mèng méng","1473","865","林夕","梦","3"
"桌","zhuō","1473","1193","卓木","桌","4"
"腿","tuǐ","1473","1351","肉退","腿","4"
"躍","yuè tì","1478","1516","足夭","跃","3"
"贊","zàn","1478","1179","先贝","赞","4"
"濃","nóng","1478","1585","水农","浓","2"
"耒","lěi","1481","3965","手","耒","2"
"䍃","yáo yóu","1482","4017","肉缶","䍃","2"
"蹈","dǎo dào","1483","2654","足舀","蹈","3"
"欲","yù","1483","1045","欠谷","欲","3"
"袋","dài","1483","1310","代衣","袋","3"
"悲","bēi","1483","1166","非心","悲","2"
"賞","shǎng","1483","1450","尚贝","赏","3"
"洗","xǐ xiǎn","1483","1247","水先","洗","4"
"勁","jìn jìng","1483","1358","𢀖力","劲","2"
"欣","xīn","1490","1523","斤欠","欣","2"
"兹","zī cí cī","1491","1781","玄","兹","2"
"迹","jì jī","1491","1098","辵亦","迹","3"
"孚","fú fū","1491","3406","爪子","孚","2"
"競","jìng","1491","1100","言儿","竞","4"
"匯","huì","1491","1187","匚水","汇","2"
"醒","xǐng chéng jīng xīng","1496","1075","酉星","醒","4"
"裂","liè liě","1496","1317","列衣","裂","3"
"腰","yāo","1496","1458","肉要","腰","4"
"閉","bì","1496","1267","门才","闭","2"
"森","sēn","1496","1029","木","森","2"
"隶","lì","1496","1801","爪水","隶","2"
"濕","shī qì tà xí","1502","1743","水显","湿","3"
"磁","cí","1502","1771","石兹","磁","3"
"伏","fú","1504","1389","人犬","伏","2"
"徐","xú","1505","1313","彳余","徐","2"
"煉","liàn làn","1505","1763","火𫠣","炼","2"
"吹","chuī chuì","1507","1390","口欠","吹","2"
"伴","bàn pàn","1507","1298","人半","伴","3"
"幅","fú","1507","1444","巾畐","幅","2"
"訂","dìng","1507","1176","言丁","订","4"
"胸","xiōng","1507","1356","肉匈","胸","4"
"徒","tú","1507","1060","辵土","徒","3"
"丑","chǒu","1513","1902","丑","丑","1"
"朵","duǒ","1513","1571","几木","朵","2"
"儀","yí","1515","1283","人义","仪","2"
"珠","zhū","1515","1286","玉朱","珠","3"
"湯","tāng shāng tàng yáng","1515","1618","水𠃓","汤","2"
"療","liáo shuò","1515","949","疒了","疗","2"
"緒","xù","1515","1413","糸者","绪","4"
"淡","dàn tán yǎn yàn","1515","1293","水炎","淡","3"
"蔣","jiǎng jiāng","1515","1172","艸将","蒋","3"
"獎","jiǎng","1515","1233","大将","奖","3"
"觜","zī zuǐ","1523","3999","此角","觜","3"
"串","chuàn guàn","1524","1832","串","串","1"
"訪","fǎng","1525","1037","言方","访","4"
"劑","jì","1525","1546","齐刀","剂","2"
"豬","zhū","1525","1762","犬者","猪","4"
"狗","gǒu","1525","1281","犬句","狗","3"
"宋","sòng","1529","990","宀木","宋","2"
"恐","kǒng","1529","891","巩心","恐","3"
"摸","mō mó","1529","1367","手莫","摸","4"
"趨","qū cù cǒu qù","1529","1486","走刍","趋","3"
"棉","mián","1529","1967","木帛","棉","3"
"厃","wēi yán zhān","1534","4017","人厂","厃","2"
"奧","ào yù","1535","972","宀米大","奥","2"
"猛","měng","1536","1157","犬孟","猛","3"
"隔","gé jī rǒng","1536","1319","阝鬲","隔","4"
"碳","tàn","1536","2734","石炭","碳","4"
"爬","pá","1536","1426","爪巴","爬","2"
"𠂹","chuí","1540","4017","𠂹","𠂹","1"
"辡","biàn","1541","4017","辛","辡","2"
"戒","jiè","1542","1566","戈廾","戒","2"
"孰","shú","1542","3483","享丸","孰","2"
"津","jīn","1542","1353","水聿","津","2"
"緣","yuán yuàn","1542","1274","糸彖","缘","3"
"薄","báo bó bò bù","1542","1433","艸溥","薄","5"
"麥","mài","1542","1171","来夊","麦","2"
"孟","mèng","1548","1575","子皿","孟","2"
"淨","jìng chēng","1548","1377","仌争","净","3"
"耗","hào máo mào","1548","1731","耒毛","耗","3"
"窮","qióng","1548","1343","穴力","穷","2"
"貧","pín","1548","1360","分贝","贫","3"
"挑","tiāo tiǎo tāo","1548","1309","手兆","挑","4"
